nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Kaptenia,0,0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d1494509-Reviews-Kaptenia-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Henry's Rooms,0,0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d11633439-Reviews-Henry_s_Rooms-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Bed & Breakfast Palma Life,0,0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d19782046-Reviews-Bed_Breakfast_Palma_Life-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Palma villa Valent,0,0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d15642768-Reviews-Palma_villa_Valent-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Nous Baleares Hotel,0,0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d28055791-Reviews-Nous_Baleares_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Lagoon Center Palma,0,0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d1143917-Reviews-Lagoon_Center_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
