nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Poc a Poc Suites,1,5.0,220.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d19734923-Reviews-Poc_a_Poc_Suites-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Vistamar Hotel,6,4.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d1221947-Reviews-Vistamar_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Sant Miquel Homes - Turismo De Interior,1,5.0,229.5,Palma de Mallorca,"['Free Wifi', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187463-d21144765-Reviews-Sant_Miquel_Homes_Turismo_De_Interior-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Casa Martina Palma de Mallorca,1,5.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d23904828-Reviews-Casa_Martina_Palma_de_Mallorca-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Apartamentos Singular,3,4.5,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d5777780-Reviews-Apartamentos_Singular-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Ur Palacio Avenida Solo Adultos,10,3.5,184.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d15902991-Reviews-Hotel_Ur_Palacio_Avenida_Solo_Adultos-Palma_de_Mallorca_Majorca_Balearic_Islands.html
The Green House - Adults Only,1,5.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d15699643-Reviews-The_Green_House_Adults_Only-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Agroturismo Arenal Playa De Palma,1,5.0,,Palma de Mallorca,"['Free Wifi', 'Free parking', 'Pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d15017241-Reviews-Agroturismo_Arenal_Playa_De_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Els Sestadors,4,4.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d2398303-Reviews-Els_Sestadors-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Lonja Suites,7,3.5,228.5,Palma de Mallorca,"['Free Wifi', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d7911256-Reviews-Lonja_Suites-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Can Savella,4,3.5,189.5,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d19609489-Reviews-Can_Savella-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Live Mallorca Hostel,2,4.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d3347152-Reviews-Live_Mallorca_Hostel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Urban Suites Palma,3,3.5,262.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d15674054-Reviews-Urban_Suites_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Villa Mondrian,1,5.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d277194-Reviews-Villa_Mondrian-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Apartamentos La Bonanova,1,5.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d266959-Reviews-Apartamentos_La_Bonanova-Palma_de_Mallorca_Majorca_Balearic_Islands.html
La Lonja Homes - Turismo De interior,2,3.0,333.0,Palma de Mallorca,"['Free Wifi', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187463-d21144416-Reviews-La_Lonja_Homes_Turismo_De_interior-Palma_de_Mallorca_Majorca_Balearic_Islands.html
