nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Can Cera Mallorcan Luxury House,979,5.0,474.0,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Airport transportation', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d2091212-Reviews-Can_Cera_Mallorcan_Luxury_House-Palma_de_Mallorca_Majorca_Balearic_Islands.html
BQ Augusta Hotel,717,4.5,139.5,Palma de Mallorca,"['Free Wifi', 'Free parking', 'Pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d272733-Reviews-BQ_Augusta_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Basilica,363,5.0,274.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Airport transportation', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d17654472-Reviews-Hotel_Basilica-Palma_de_Mallorca_Majorca_Balearic_Islands.html
The Boc Palma Albergue Juvenil,198,4.0,94.0,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d8629413-Reviews-The_Boc_Palma_Albergue_Juvenil-Palma_de_Mallorca_Majorca_Balearic_Islands.html
The Hype Beach House,17,4.5,382.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Beachfront', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d15069943-Reviews-The_Hype_Beach_House-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Saratoga,1603,4.0,209.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d232764-Reviews-Hotel_Saratoga-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Belle Marivent Mediterranean Petit Hotel,44,4.5,205.5,Palma de Mallorca,"['Free Wifi', 'Beachfront', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d26258769-Reviews-Belle_Marivent_Mediterranean_Petit_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Palladium Palma,517,4.0,162.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Room service', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187463-d272916-Reviews-Hotel_Palladium_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Protur Naisa Palma Hotel,354,4.5,252.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Outdoor pool', 'Heated pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d14931104-Reviews-Protur_Naisa_Palma_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Mirador,145,3.5,174.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d231680-Reviews-Hotel_Mirador-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Puro Hotel Palma,1131,4.5,252.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Room service', 'Spa']",https://www.tripadvisor.com/Hotel_Review-g187463-d305578-Reviews-Puro_Hotel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Posada Terra Santa,1695,5.0,319.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d6479649-Reviews-Posada_Terra_Santa-Palma_de_Mallorca_Majorca_Balearic_Islands.html
"Castillo Hotel Son Vida, a Luxury Collection Hotel, Mallorca",1203,4.5,417.5,Palma de Mallorca,"['Free Wifi', 'Free parking', 'Breakfast included', 'Pool', 'Heated pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d234557-Reviews-Castillo_Hotel_Son_Vida_a_Luxury_Collection_Hotel_Mallorca-Palma_de_Mallorca_Majorca_Ba.html
Calatrava Mediterranean Sea House,830,5.0,431.0,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Airport transportation', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d4067341-Reviews-Calatrava_Mediterranean_Sea_House-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Nivia Born Boutique Hotel,119,4.5,337.0,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d23082585-Reviews-Nivia_Born_Boutique_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
"Convent de la Missió, grand luxury boutique hotel Adults Only",605,4.5,426.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d266124-Reviews-Convent_de_la_Missio_grand_luxury_boutique_hotel_Adults_Only-Palma_de_Mallorca_Majorca_.html
The Boc City,12,4.0,107.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d24043005-Reviews-The_Boc_City-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Sant Jaume Design Hotel,529,5.0,372.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d12146483-Reviews-Sant_Jaume_Design_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Bordoy Continental Palma,650,4.5,177.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187463-d628863-Reviews-Hotel_Bordoy_Continental_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Joan Miro Museum,421,4.0,133.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d483372-Reviews-Hotel_Joan_Miro_Museum-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Palma Riad,162,5.0,631.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Airport transportation', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d23674311-Reviews-Palma_Riad-Palma_de_Mallorca_Majorca_Balearic_Islands.html
El Llorenc Parc de la Mar,323,5.0,367.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Heated pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d15645101-Reviews-El_Llorenc_Parc_de_la_Mar-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Can Bordoy Grand House & Garden,183,4.5,513.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Heated pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d15327535-Reviews-Can_Bordoy_Grand_House_Garden-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Almudaina Hotel,1428,4.0,205.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d232766-Reviews-Almudaina_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Amic Colon Hotel,322,3.5,111.5,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d206941-Reviews-Amic_Colon_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Nobis Hotel Palma,22,4.5,458.5,Palma de Mallorca,"['Free Wifi', 'Indoor pool', 'Restaurant', 'Bar/Lounge', 'Spa']",https://www.tripadvisor.com/Hotel_Review-g187463-d26864850-Reviews-Nobis_Hotel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
