nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Hotel Glòria de Sant Jaume,256,5.0,496.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d13559227-Reviews-Hotel_Gloria_de_Sant_Jaume-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Lis Mallorca,234,3.5,159.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d1498480-Reviews-Hotel_Lis_Mallorca-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Isla Mallorca & Spa,2118,4.0,156.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d231678-Reviews-Hotel_Isla_Mallorca_Spa-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Ciutat Jardi,203,4.5,223.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Beachfront', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d1226865-Reviews-Hotel_Ciutat_Jardi-Palma_de_Mallorca_Majorca_Balearic_Islands.html
AH Art Hotel Palma,691,5.0,247.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Airport transportation', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187463-d8478269-Reviews-AH_Art_Hotel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Puro Grand Hotel,151,5.0,400.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Airport transportation', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d24109272-Reviews-Puro_Grand_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Santa Clara Urban Hotel & Spa,701,4.5,263.0,Palma de Mallorca,"['Free Wifi', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d1057448-Reviews-Santa_Clara_Urban_Hotel_Spa-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Cort,730,4.5,325.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d4586537-Reviews-Hotel_Cort-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Y Hostel - Albergue Juvenil,17,4.5,97.0,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d20116792-Reviews-Y_Hostel_Albergue_Juvenil-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Can Alomar Urban Luxury Retreat,877,5.0,480.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d6385615-Reviews-Can_Alomar_Urban_Luxury_Retreat-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Portofino Mallorca,696,4.0,126.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Beachfront', 'Outdoor pool', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d782228-Reviews-Portofino_Mallorca-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Can Cirera,48,5.0,313.5,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d23932805-Reviews-Hotel_Can_Cirera-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Palacio Can Marques,138,5.0,507.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Airport transportation', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d15228660-Reviews-Palacio_Can_Marques-Palma_de_Mallorca_Majorca_Balearic_Islands.html
